draw,rc,term,estimate,raw_gap,N
19,0,plants,.0125440301723438,-.0107376065262062,13744
19,0,age,.0002194048119646,-.0107376065262062,13744
19,0,gender,.0001205646029354,-.0107376065262062,13744
19,0,marriage,-.0000774163268015,-.0107376065262062,13744
19,0,ln_income,.0000449980087552,-.0107376065262062,13744
19,0,health,-.0015035387868308,-.0107376065262062,13744
19,0,sportsArea,.0036274825110476,-.0107376065262062,13744
19,0,year14,-.008127856174554,-.0107376065262062,13744
19,0,rice10,-.0239179092619235,-.0107376065262062,13744
19,0,ln_gdp_hist,-.0032404597889778,-.0107376065262062,13744
19,0,urban2000_10,.0120728141952305,-.0107376065262062,13744
19,0,diff,-.0107376065262062,-.0107376065262062,13744
19,0,expl,-.0097481641256322,-.0107376065262062,13744
19,0,pr_0,.1665943600867679,-.0107376065262062,13744
19,0,pr_1,.1773319666129741,-.0107376065262062,13744
20,0,edu,-.0243749769712809,-.1073522029798983,10054
20,0,plants,.0128509523174498,-.1073522029798983,10054
20,0,age,.0019162923285854,-.1073522029798983,10054
20,0,gender,.0007724195242736,-.1073522029798983,10054
20,0,marriage,.0019334775411414,-.1073522029798983,10054
20,0,ln_income,.0000135526198318,-.1073522029798983,10054
20,0,health,-.0040083596553325,-.1073522029798983,10054
20,0,sportsArea,.0009950191010091,-.1073522029798983,10054
20,0,year14,-.0118602837324894,-.1073522029798983,10054
20,0,rice10,-.0530767351106565,-.1073522029798983,10054
20,0,ln_gdp_hist,-.035846697411004,-.1073522029798983,10054
20,0,urban2000_10,.0044983665681327,-.1073522029798983,10054
20,0,diff,-.1073522029798983,-.1073522029798983,10054
20,0,expl,-.1061191297950535,-.1073522029798983,10054
20,0,pr_0,.1200287494010541,-.1073522029798983,10054
20,0,pr_1,.2273809523809524,-.1073522029798983,10054
21,0,edu,-.0071732042029301,-.0952313661358124,15528
21,0,plants,-.0208711379817816,-.0952313661358124,15528
21,0,age,-.0005052018415813,-.0952313661358124,15528
21,0,gender,.0002452640848651,-.0952313661358124,15528
21,0,marriage,-.0000767870073201,-.0952313661358124,15528
21,0,ln_income,-.000070781205594,-.0952313661358124,15528
21,0,health,-.0004443608559368,-.0952313661358124,15528
21,0,sportsArea,.0076435011760784,-.0952313661358124,15528
21,0,year14,-.0059209618364834,-.0952313661358124,15528
21,0,rice10,-.0698445008499246,-.0952313661358124,15528
21,0,ln_gdp_hist,.0053048895340056,-.0952313661358124,15528
